Time,U,V,W
0.35374966,-0.70189874,0.0096103368,-1.8824492e-07
0.35474966,-0.70360015,0.0095013539,-1.8434892e-07
0.35574966,-0.7052415,0.0094301846,-1.8245098e-07
0.35674966,-0.70681991,0.009395605,-1.805673e-07
0.35774966,-0.70833085,0.0093940082,-1.730179e-07
0.35874966,-0.70977047,0.0094206148,-1.7535502e-07
0.35974966,-0.71113541,0.0094680157,-1.729712e-07
0.36074966,-0.71242967,0.0095272304,-1.694559e-07
0.36174966,-0.71365659,0.0095892784,-1.7068664e-07
0.36274966,-0.71482024,0.0096452038,-1.6550655e-07
0.36374966,-0.71592054,0.0096872028,-1.6299901e-07
0.36474966,-0.71696254,0.0097084822,-1.5972288e-07
0.36574966,-0.71795416,0.009703836,-1.5792463e-07
0.36674966,-0.71889889,0.0096700527,-1.5617742e-07
0.36774966,-0.71979976,0.0096062734,-1.5201032e-07
0.36874966,-0.72065845,0.0095142573,-1.4600605e-07
0.36974966,-0.7214828,0.0093956715,-1.4464692e-07
0.37074966,-0.72227682,0.0092543541,-1.4141051e-07
0.37174966,-0.72304227,0.0090952492,-1.3545661e-07
0.37274966,-0.72377904,0.0089245409,-1.3462383e-07
0.37374966,-0.72449005,0.0087480304,-1.3121324e-07
0.37474966,-0.72517618,0.008571223,-1.26498e-07
0.37574966,-0.72583552,0.0083996176,-1.2360535e-07
0.37674966,-0.72646691,0.0082374105,-1.2006434e-07
0.37774966,-0.72707043,0.0080875851,-1.172222e-07
0.37874966,-0.72764342,0.0079529927,-1.1446602e-07
0.37974966,-0.7281845,0.0078340822,-1.1102966e-07
0.38074966,-0.72869429,0.007730059,-1.0796544e-07
0.38174966,-0.72917292,0.0076391679,-1.0481375e-07
0.38274966,-0.72962279,0.0075594692,-1.0160273e-07
0.38374966,-0.73004383,0.007487919,-9.9344473e-08
0.38474966,-0.73043623,0.0074212123,-9.612678e-08
0.38574966,-0.7308049,0.0073557936,-9.3714712e-08
0.38674966,-0.73115714,0.0072927412,-8.9484394e-08
0.38774966,-0.73149836,0.0072364198,-8.8358191e-08
0.38874966,-0.73182688,0.0071900914,-8.1933139e-08
0.38974966,-0.73214422,0.0071550712,-7.9548819e-08
0.39074966,-0.7324516,0.007131404,-7.5534089e-08
0.39174966,-0.73275292,0.0071184196,-7.1589254e-08
0.39274966,-0.73304601,0.0071170641,-6.8488298e-08
0.39374966,-0.73333002,0.0071278241,-6.2010384e-08
0.39474966,-0.73361218,0.0071516136,-5.7424135e-08
0.39574966,-0.73390287,0.0071898845,-5.2873225e-08
0.39674966,-0.73420357,0.007243557,-4.6221134e-08
0.39774966,-0.73450187,0.0073125381,-4.2307119e-08
0.39874966,-0.73478976,0.0073900637,-3.755861e-08
0.39974966,-0.73506205,0.0074667859,-3.0992276e-08
0.40074966,-0.73531652,0.0075335596,-2.6473785e-08
0.40174966,-0.73555453,0.0075825598,-2.2462733e-08
0.40274966,-0.73577416,0.0076083925,-1.904903e-08
0.40374966,-0.73597527,0.0076073579,-1.5222633e-08
0.40474966,-0.73615956,0.0075777283,-1.1053351e-08
0.40574966,-0.73632866,0.007519672,-1.0419225e-08
0.40674966,-0.73648149,0.0074347072,-6.9961614e-09
0.40774966,-0.7366236,0.007324618,-5.0150787e-09
0.40874966,-0.73675626,0.007192773,-2.1406884e-09
0.40974966,-0.73687638,0.0070439859,7.6232241e-11
0.41074966,-0.73698989,0.0068831819,6.8183419e-10
0.41174966,-0.73710198,0.006714476,2.4946521e-09
0.41274966,-0.73721231,0.0065412597,5.4478028e-09
0.41374966,-0.73731235,0.0063662203,8.8213808e-09
0.41474966,-0.73741406,0.0061959002,9.9208081e-09
0.41574966,-0.73750268,0.0060261109,1.3545474e-08
0.41674966,-0.7375884,0.0058632911,1.7172857e-08
0.41774966,-0.73766791,0.0057088709,2.0348788e-08
0.41874966,-0.73774085,0.0055633673,2.3369434e-08
0.41974966,-0.73779849,0.0054276568,2.7420722e-08
0.42074966,-0.73783498,0.0053002087,3.029436e-08
0.42174966,-0.73784425,0.0051776892,3.4317523e-08
0.42274966,-0.73782731,0.0050555129,3.7313848e-08
0.42374966,-0.73778756,0.004929806,3.9886763e-08
0.42474966,-0.73772587,0.0047968494,4.4401936e-08
0.42574966,-0.73764717,0.0046542906,4.6976533e-08
0.42674966,-0.73755448,0.004500569,4.9204072e-08
0.42774966,-0.737453,0.0043357092,5.1022243e-08
0.42874966,-0.73734653,0.0041613318,5.4337761e-08
0.42974966,-0.73723986,0.0039797601,5.5834784e-08
0.43074966,-0.73713643,0.0037940041,5.7953546e-08
0.43174966,-0.73704126,0.0036072593,5.8483693e-08
0.43274966,-0.73696049,0.003380015,5.9493398e-08
0.43374966,-0.73689732,0.0030888745,5.9443641e-08
0.43474966,-0.73685098,0.0027428435,6.0192042e-08
0.43574966,-0.73682015,0.0023552108,5.9791112e-08
0.43674966,-0.73680206,0.0019330535,6.0029715e-08
0.43774966,-0.73678762,0.0014774186,5.8345414e-08
0.43874966,-0.73676751,0.00099431751,5.7702812e-08
0.43974966,-0.73675347,0.00056394754,5.767089e-08
0.44074966,-0.73674752,0.00020601406,5.7023356e-08
0.44174966,-0.73674751,-8.0591095e-05,5.7199012e-08
0.44274966,-0.73675179,-0.00030377862,5.8117943e-08
0.44374966,-0.73675808,-0.00047237813,5.8038812e-08
0.44474966,-0.73676713,-0.00059579688,5.98628e-08
0.44574966,-0.7367804,-0.00068339961,6.0882552e-08
0.44674966,-0.73679885,-0.0007442964,6.2485084e-08
0.44774966,-0.73682262,-0.00078707357,6.3751158e-08
0.44874966,-0.73685263,-0.00081947925,6.5430244e-08
0.44974966,-0.73688978,-0.00084826443,6.7331536e-08
0.45074966,-0.73693574,-0.00087893781,6.8574549e-08
0.45174966,-0.73699234,-0.00091560812,7.02422e-08
0.45274966,-0.73705928,-0.00096078919,7.1388064e-08
0.45374966,-0.73713778,-0.0010156758,7.3976694e-08
0.45474966,-0.73722958,-0.0010801432,7.5282679e-08
0.45574966,-0.73733624,-0.0011523292,7.701375e-08
0.45674966,-0.7374585,-0.0012253853,7.8831409e-08
0.45774966,-0.73759709,-0.0013117668,7.9931597e-08
0.45874966,-0.73775142,-0.0014176954,8.0836421e-08
0.45974966,-0.73792348,-0.0015297402,8.1664791e-08
0.46074966,-0.73811212,-0.0016411642,8.3474352e-08
0.46174966,-0.73831803,-0.0017482901,8.4354177e-08
0.46274966,-0.73854112,-0.0018483457,8.5738213e-08
0.46374966,-0.73878176,-0.0019415519,8.6988092e-08
0.46474966,-0.73903757,-0.0020303716,8.7857373e-08
0.46574966,-0.73932119,-0.0021111927,8.9686462e-08
0.46674966,-0.73965136,-0.0021742558,9.1368022e-08
0.46774966,-0.74002203,-0.0022176104,9.3451314e-08
0.46874966,-0.74042334,-0.0022415548,9.5216893e-08
0.46974966,-0.74084604,-0.0022488353,9.7065455e-08
0.47074966,-0.74128387,-0.002245741,9.8614853e-08
0.47174966,-0.74172929,-0.0022394505,9.9434209e-08
0.47274966,-0.7421776,-0.0022364432,1.0120935e-07
0.47374966,-0.74262601,-0.0022408291,1.0224364e-07
