"shear_lam","shear_tot","shear_turb","y_plus","Points:0","Points:1","Points:2"
3.4675e-05,0.0010988,0.0010641,278.54,900,7.8959,0
3.4605e-05,0.0010936,0.001059,279.47,900,7.9224,0
3.4536e-05,0.0010884,0.0010538,280.41,900,7.9489,0
3.4466e-05,0.0010832,0.0010487,281.34,900,7.9754,0
3.4397e-05,0.0010779,0.0010435,282.28,900,8.0019,0
3.4327e-05,0.0010727,0.0010384,283.21,900,8.0283,0
3.4249e-05,0.0010675,0.0010332,284.15,900,8.0548,0
3.4159e-05,0.0010622,0.001028,285.08,900,8.0813,0
3.4068e-05,0.0010569,0.0010228,286.01,900,8.1078,0
3.3977e-05,0.0010515,0.0010176,286.95,900,8.1343,0
3.3886e-05,0.0010462,0.0010123,287.88,900,8.1608,0
3.3796e-05,0.0010409,0.0010071,288.82,900,8.1873,0
3.3698e-05,0.0010356,0.0010019,289.75,900,8.2137,0
3.3579e-05,0.0010304,0.00099679,290.69,900,8.2402,0
3.346e-05,0.0010251,0.00099167,291.62,900,8.2667,0
3.3341e-05,0.0010199,0.00098654,292.55,900,8.2932,0
3.3222e-05,0.0010146,0.00098142,293.49,900,8.3197,0
3.3103e-05,0.0010094,0.00097629,294.42,900,8.3462,0
3.2984e-05,0.0010042,0.00097117,295.36,900,8.3726,0
3.2837e-05,0.00099908,0.00096624,296.29,900,8.3991,0
3.2689e-05,0.000994,0.00096131,297.22,900,8.4256,0
3.2541e-05,0.00098893,0.00095639,298.16,900,8.4521,0
3.2394e-05,0.00098385,0.00095146,299.09,900,8.4786,0
3.2246e-05,0.00097878,0.00094653,300.03,900,8.5051,0
3.2099e-05,0.0009737,0.0009416,300.96,900,8.5315,0
3.1949e-05,0.00096874,0.00093679,301.9,900,8.558,0
3.1798e-05,0.00096383,0.00093203,302.83,900,8.5845,0
3.1647e-05,0.00095892,0.00092727,303.76,900,8.611,0
3.1496e-05,0.00095401,0.00092251,304.7,900,8.6375,0
3.1345e-05,0.0009491,0.00091775,305.63,900,8.664,0
3.1195e-05,0.00094419,0.00091299,306.57,900,8.6905,0
3.1049e-05,0.0009393,0.00090825,307.5,900,8.7169,0
