"Dissipation","Production","Points:0","Points:1","Points:2"
-5.2741e-05,2.0931e-05,900,9.0347,0
-5.2585e-05,2.0745e-05,900,9.0612,0
-5.2464e-05,2.0579e-05,900,9.0877,0
-5.2343e-05,2.0412e-05,900,9.1142,0
-5.2223e-05,2.0246e-05,900,9.1407,0
-5.2102e-05,2.008e-05,900,9.1672,0
-5.1981e-05,1.9914e-05,900,9.1937,0
-5.186e-05,1.9748e-05,900,9.2201,0
-5.1746e-05,1.9584e-05,900,9.2466,0
-5.1656e-05,1.9431e-05,900,9.2731,0
-5.1565e-05,1.9278e-05,900,9.2996,0
-5.1475e-05,1.9124e-05,900,9.3261,0
-5.1384e-05,1.8971e-05,900,9.3526,0
-5.1294e-05,1.8818e-05,900,9.379,0
-5.1203e-05,1.8665e-05,900,9.4055,0
-5.1111e-05,1.8512e-05,900,9.432,0
-5.1014e-05,1.8359e-05,900,9.4585,0
-5.0918e-05,1.8207e-05,900,9.485,0
-5.0821e-05,1.8055e-05,900,9.5115,0
-5.0725e-05,1.7903e-05,900,9.538,0
-5.0629e-05,1.775e-05,900,9.5644,0
-5.0532e-05,1.7598e-05,900,9.5909,0
-5.0429e-05,1.7445e-05,900,9.6174,0
-5.0311e-05,1.729e-05,900,9.6439,0
-5.0194e-05,1.7135e-05,900,9.6704,0
-5.0077e-05,1.698e-05,900,9.6969,0
-4.9959e-05,1.6825e-05,900,9.7233,0
-4.9842e-05,1.6669e-05,900,9.7498,0
-4.9725e-05,1.6514e-05,900,9.7763,0
-4.9605e-05,1.636e-05,900,9.8028,0
-4.9477e-05,1.6207e-05,900,9.8293,0
-4.9349e-05,1.6055e-05,900,9.8558,0
-4.9221e-05,1.5902e-05,900,9.8822,0
-4.9093e-05,1.575e-05,900,9.9087,0
-4.8965e-05,1.5597e-05,900,9.9352,0
-4.8837e-05,1.5445e-05,900,9.9617,0
-4.8709e-05,1.5292e-05,900,9.9882,0
-4.8578e-05,1.5143e-05,900,10.015,0
-4.8447e-05,1.4993e-05,900,10.041,0
-4.8315e-05,1.4843e-05,900,10.068,0
-4.8184e-05,1.4693e-05,900,10.094,0
-4.8053e-05,1.4543e-05,900,10.121,0
-4.7922e-05,1.4393e-05,900,10.147,0
-4.7791e-05,1.4243e-05,900,10.174,0
-4.7647e-05,1.4095e-05,900,10.2,0
-4.7495e-05,1.3948e-05,900,10.227,0
-4.7344e-05,1.38e-05,900,10.253,0
-4.7192e-05,1.3652e-05,900,10.28,0
-4.7041e-05,1.3505e-05,900,10.306,0
-4.6889e-05,1.3357e-05,900,10.332,0
-4.6737e-05,1.321e-05,900,10.359,0
-4.6581e-05,1.3062e-05,900,10.385,0
-4.6405e-05,1.2916e-05,900,10.412,0
-4.6228e-05,1.2769e-05,900,10.438,0
-4.6051e-05,1.2622e-05,900,10.465,0
-4.5875e-05,1.2475e-05,900,10.491,0
-4.5698e-05,1.2328e-05,900,10.518,0
-4.5521e-05,1.2181e-05,900,10.544,0
-4.5345e-05,1.2034e-05,900,10.571,0
