"u_plus","y_plus","Points:0","Points:1","Points:2"
22.577,467.26,900,13.246,0
22.583,468.2,900,13.272,0
22.588,469.13,900,13.299,0
22.594,470.07,900,13.325,0
22.599,471,900,13.352,0
22.605,471.93,900,13.378,0
22.61,472.87,900,13.405,0
22.616,473.8,900,13.431,0
22.621,474.74,900,13.458,0
22.627,475.67,900,13.484,0
22.632,476.61,900,13.511,0
22.637,477.54,900,13.537,0
22.642,478.47,900,13.564,0
22.647,479.41,900,13.59,0
22.652,480.34,900,13.617,0
22.657,481.28,900,13.643,0
22.661,482.21,900,13.67,0
22.666,483.15,900,13.696,0
22.671,484.08,900,13.722,0
22.676,485.01,900,13.749,0
22.68,485.95,900,13.775,0
22.685,486.88,900,13.802,0
22.689,487.82,900,13.828,0
22.693,488.75,900,13.855,0
22.698,489.69,900,13.881,0
22.702,490.62,900,13.908,0
22.707,491.55,900,13.934,0
22.711,492.49,900,13.961,0
22.715,493.42,900,13.987,0
22.719,494.36,900,14.014,0
22.723,495.29,900,14.04,0
22.727,496.22,900,14.067,0
22.731,497.16,900,14.093,0
22.735,498.09,900,14.12,0
22.739,499.03,900,14.146,0
22.743,499.96,900,14.173,0
22.747,500.9,900,14.199,0
22.75,501.83,900,14.226,0
22.754,502.76,900,14.252,0
22.758,503.7,900,14.279,0
22.761,504.63,900,14.305,0
22.765,505.57,900,14.332,0
22.768,506.5,900,14.358,0
22.772,507.44,900,14.385,0
22.775,508.37,900,14.411,0
22.778,509.3,900,14.438,0
22.782,510.24,900,14.464,0
22.785,511.17,900,14.491,0
22.789,512.11,900,14.517,0
22.792,513.04,900,14.543,0
22.795,513.98,900,14.57,0
22.798,514.91,900,14.596,0
22.801,515.84,900,14.623,0
22.804,516.78,900,14.649,0
22.807,517.71,900,14.676,0
22.81,518.65,900,14.702,0
22.813,519.58,900,14.729,0
22.816,520.52,900,14.755,0
22.819,521.45,900,14.782,0
22.821,522.38,900,14.808,0
22.824,523.32,900,14.835,0
22.826,524.25,900,14.861,0
22.829,525.19,900,14.888,0
22.832,526.12,900,14.914,0
22.834,527.06,900,14.941,0
22.837,527.99,900,14.967,0
22.839,528.92,900,14.994,0
22.842,529.86,900,15.02,0
22.844,530.79,900,15.047,0
22.846,531.73,900,15.073,0
22.849,532.66,900,15.1,0
22.851,533.6,900,15.126,0
22.853,534.53,900,15.153,0
22.855,535.46,900,15.179,0
22.857,536.4,900,15.206,0
22.86,537.33,900,15.232,0
22.862,538.27,900,15.259,0
22.864,539.2,900,15.285,0
22.866,540.14,900,15.312,0
22.868,541.07,900,15.338,0
22.869,542,900,15.365,0
22.871,542.94,900,15.391,0
22.873,543.87,900,15.417,0
22.875,544.81,900,15.444,0
22.877,545.74,900,15.47,0
22.879,546.68,900,15.497,0
22.88,547.61,900,15.523,0
22.882,548.54,900,15.55,0
22.884,549.48,900,15.576,0
22.885,550.41,900,15.603,0
22.887,551.35,900,15.629,0
22.888,552.28,900,15.656,0
22.89,553.22,900,15.682,0
22.891,554.15,900,15.709,0
