"tau_wall","y_plus","Points:0","Points:1","Points:2"
6.2685,0.12625,298.98,0.0035789,0
6.3033,0.12625,299.85,0.0035789,0
6.3361,0.12625,300.72,0.0035789,0
6.367,0.12625,301.59,0.0035789,0
6.3979,0.12625,302.46,0.0035789,0
6.4286,0.12625,303.33,0.0035789,0
6.4594,0.12625,304.2,0.0035789,0
6.4912,0.12625,305.07,0.0035789,0
6.5247,0.12625,305.94,0.0035789,0
6.5601,0.12625,306.81,0.0035789,0
6.5963,0.12625,307.68,0.0035789,0
6.633,0.12625,308.55,0.0035789,0
6.6704,0.12625,309.42,0.0035789,0
6.7076,0.12625,310.29,0.0035789,0
6.7434,0.12625,311.16,0.0035789,0
6.7782,0.12625,312.03,0.0035789,0
6.8136,0.12625,312.9,0.0035789,0
6.8501,0.12625,313.77,0.0035789,0
6.8866,0.12625,314.64,0.0035789,0
6.9228,0.12625,315.51,0.0035789,0
6.9602,0.12625,316.38,0.0035789,0
6.9985,0.12625,317.25,0.0035789,0
7.037,0.12625,318.12,0.0035789,0
7.0741,0.12625,318.99,0.0035789,0
7.1093,0.12625,319.86,0.0035789,0
7.1442,0.12625,320.73,0.0035789,0
7.1802,0.12625,321.6,0.0035789,0
7.2175,0.12625,322.47,0.0035789,0
7.2541,0.12625,323.33,0.0035789,0
7.2899,0.12625,324.2,0.0035789,0
7.3245,0.12625,325.07,0.0035789,0
7.3577,0.12625,325.94,0.0035789,0
7.3891,0.12625,326.81,0.0035789,0
7.4194,0.12625,327.68,0.0035789,0
7.4508,0.12625,328.55,0.0035789,0
7.4816,0.12625,329.42,0.0035789,0
7.5119,0.12625,330.29,0.0035789,0
7.5436,0.12625,331.16,0.0035789,0
7.5772,0.12625,332.03,0.0035789,0
7.6128,0.12625,332.9,0.0035789,0
7.6486,0.12625,333.77,0.0035789,0
7.6832,0.12625,334.64,0.0035789,0
7.7185,0.12625,335.51,0.0035789,0
7.7545,0.12625,336.38,0.0035789,0
7.7894,0.12625,337.25,0.0035789,0
7.8241,0.12625,338.12,0.0035789,0
7.861,0.12625,338.99,0.0035789,0
7.8989,0.12625,339.86,0.0035789,0
7.9358,0.12625,340.73,0.0035789,0
7.9717,0.12625,341.6,0.0035789,0
8.0087,0.12625,342.47,0.0035789,0
8.048,0.12625,343.34,0.0035789,0
8.09,0.12625,344.21,0.0035789,0
8.1313,0.12625,345.08,0.0035789,0
8.1704,0.12625,345.95,0.0035789,0
8.2082,0.12625,346.82,0.0035789,0
8.2449,0.12625,347.69,0.0035789,0
8.2808,0.12625,348.56,0.0035789,0
8.3171,0.12625,349.43,0.0035789,0
8.3543,0.12625,350.3,0.0035789,0
8.3924,0.12625,351.17,0.0035789,0
8.4307,0.12625,352.04,0.0035789,0
8.4684,0.12625,352.91,0.0035789,0
8.5069,0.12625,353.78,0.0035789,0
8.5447,0.12625,354.65,0.0035789,0
8.5829,0.12625,355.52,0.0035789,0
8.6224,0.12625,356.39,0.0035789,0
8.6615,0.12625,357.26,0.0035789,0
8.6993,0.12625,358.13,0.0035789,0
8.7369,0.12625,359,0.0035789,0
8.774,0.12625,359.87,0.0035789,0
8.8115,0.12625,360.74,0.0035789,0
8.8485,0.12625,361.61,0.0035789,0
8.8869,0.12625,362.48,0.0035789,0
8.9263,0.12625,363.34,0.0035789,0
8.9648,0.12625,364.21,0.0035789,0
9.0037,0.12625,365.08,0.0035789,0
9.0402,0.12625,365.95,0.0035789,0
9.0748,0.12625,366.82,0.0035789,0
9.1124,0.12625,367.69,0.0035789,0
9.1536,0.12625,368.56,0.0035789,0
9.1934,0.12625,369.43,0.0035789,0
9.2317,0.12625,370.3,0.0035789,0
9.2692,0.12625,371.17,0.0035789,0
9.3045,0.12625,372.04,0.0035789,0
9.3386,0.12625,372.91,0.0035789,0
9.3732,0.12625,373.78,0.0035789,0
9.4084,0.12625,374.65,0.0035789,0
9.4433,0.12625,375.52,0.0035789,0
9.4775,0.12625,376.39,0.0035789,0
9.5113,0.12625,377.26,0.0035789,0
9.5443,0.12625,378.13,0.0035789,0
9.5769,0.12625,379,0.0035789,0
9.6089,0.12625,379.87,0.0035789,0
9.6395,0.12625,380.74,0.0035789,0
9.6696,0.12625,381.61,0.0035789,0
9.6997,0.12625,382.48,0.0035789,0
9.7294,0.12625,383.35,0.0035789,0
9.7573,0.12625,384.22,0.0035789,0
9.7845,0.12625,385.09,0.0035789,0
9.8131,0.12625,385.96,0.0035789,0
9.8421,0.12625,386.83,0.0035789,0
9.8713,0.12625,387.7,0.0035789,0
9.9008,0.12625,388.57,0.0035789,0
9.9312,0.12625,389.44,0.0035789,0
9.9614,0.12625,390.31,0.0035789,0
9.9915,0.12625,391.18,0.0035789,0
10.022,0.12625,392.05,0.0035789,0
10.053,0.12625,392.92,0.0035789,0
10.085,0.12625,393.79,0.0035789,0
10.117,0.12625,394.66,0.0035789,0
10.149,0.12625,395.53,0.0035789,0
10.18,0.12625,396.4,0.0035789,0
10.21,0.12625,397.27,0.0035789,0
10.239,0.12625,398.14,0.0035789,0
10.267,0.12625,399.01,0.0035789,0
10.292,0.12625,399.88,0.0035789,0
10.315,0.12625,400.75,0.0035789,0
10.335,0.12625,401.62,0.0035789,0
10.353,0.12625,402.48,0.0035789,0
10.372,0.12625,403.35,0.0035789,0
10.391,0.12625,404.22,0.0035789,0
10.407,0.12625,405.09,0.0035789,0
10.423,0.12625,405.96,0.0035789,0
10.44,0.12625,406.83,0.0035789,0
10.457,0.12625,407.7,0.0035789,0
10.476,0.12625,408.57,0.0035789,0
10.494,0.12625,409.44,0.0035789,0
10.511,0.12625,410.31,0.0035789,0
10.527,0.12625,411.18,0.0035789,0
10.542,0.12625,412.05,0.0035789,0
10.556,0.12625,412.92,0.0035789,0
10.57,0.12625,413.79,0.0035789,0
10.583,0.12625,414.66,0.0035789,0
10.595,0.12625,415.53,0.0035789,0
10.608,0.12625,416.4,0.0035789,0
10.62,0.12625,417.27,0.0035789,0
10.633,0.12625,418.14,0.0035789,0
10.643,0.12625,419.01,0.0035789,0
10.652,0.12625,419.88,0.0035789,0
10.659,0.12625,420.75,0.0035789,0
10.666,0.12625,421.62,0.0035789,0
10.673,0.12625,422.49,0.0035789,0
10.681,0.12625,423.36,0.0035789,0
10.69,0.12625,424.23,0.0035789,0
10.699,0.12625,425.1,0.0035789,0
10.708,0.12625,425.97,0.0035789,0
10.717,0.12625,426.84,0.0035789,0
10.727,0.12625,427.71,0.0035789,0
10.735,0.12625,428.58,0.0035789,0
10.742,0.12625,429.45,0.0035789,0
10.746,0.12625,430.32,0.0035789,0
10.747,0.12625,431.19,0.0035789,0
10.747,0.12625,432.06,0.0035789,0
10.746,0.12625,432.93,0.0035789,0
10.746,0.12625,433.8,0.0035789,0
10.746,0.12625,434.67,0.0035789,0
10.748,0.12625,435.54,0.0035789,0
10.751,0.12625,436.41,0.0035789,0
10.756,0.12625,437.28,0.0035789,0
10.761,0.12625,438.15,0.0035789,0
10.765,0.12625,439.02,0.0035789,0
10.768,0.12625,439.89,0.0035789,0
10.773,0.12625,440.76,0.0035789,0
10.778,0.12625,441.63,0.0035789,0
10.782,0.12625,442.49,0.0035789,0
10.784,0.12625,443.36,0.0035789,0
10.785,0.12625,444.23,0.0035789,0
10.787,0.12625,445.1,0.0035789,0
10.789,0.12625,445.97,0.0035789,0
10.792,0.12625,446.84,0.0035789,0
10.794,0.12625,447.71,0.0035789,0
10.793,0.12625,448.58,0.0035789,0
10.79,0.12625,449.45,0.0035789,0
10.786,0.12625,450.32,0.0035789,0
10.783,0.12625,451.19,0.0035789,0
10.78,0.12625,452.06,0.0035789,0
10.776,0.12625,452.93,0.0035789,0
10.774,0.12625,453.8,0.0035789,0
10.772,0.12625,454.67,0.0035789,0
10.77,0.12625,455.54,0.0035789,0
10.769,0.12625,456.41,0.0035789,0
10.768,0.12625,457.28,0.0035789,0
10.767,0.12625,458.15,0.0035789,0
10.764,0.12625,459.02,0.0035789,0
10.761,0.12625,459.89,0.0035789,0
10.76,0.12625,460.76,0.0035789,0
10.758,0.12625,461.63,0.0035789,0
10.756,0.12625,462.5,0.0035789,0
10.752,0.12625,463.37,0.0035789,0
10.746,0.12625,464.24,0.0035789,0
10.741,0.12625,465.11,0.0035789,0
10.737,0.12625,465.98,0.0035789,0
10.735,0.12625,466.85,0.0035789,0
10.732,0.12625,467.72,0.0035789,0
10.728,0.12625,468.59,0.0035789,0
10.726,0.12625,469.46,0.0035789,0
10.724,0.12625,470.33,0.0035789,0
10.723,0.12625,471.2,0.0035789,0
10.723,0.12625,472.07,0.0035789,0
10.721,0.12625,472.94,0.0035789,0
10.716,0.12625,473.81,0.0035789,0
10.71,0.12625,474.68,0.0035789,0
10.704,0.12625,475.55,0.0035789,0
10.698,0.12625,476.42,0.0035789,0
10.693,0.12625,477.29,0.0035789,0
10.69,0.12625,478.16,0.0035789,0
10.687,0.12625,479.03,0.0035789,0
10.686,0.12625,479.9,0.0035789,0
10.685,0.12625,480.77,0.0035789,0
10.684,0.12625,481.64,0.0035789,0
10.685,0.12625,482.5,0.0035789,0
10.686,0.12625,483.37,0.0035789,0
10.687,0.12625,484.24,0.0035789,0
10.685,0.12625,485.11,0.0035789,0
10.68,0.12625,485.98,0.0035789,0
10.675,0.12625,486.85,0.0035789,0
10.669,0.12625,487.72,0.0035789,0
10.664,0.12625,488.59,0.0035789,0
10.659,0.12625,489.46,0.0035789,0
10.655,0.12625,490.33,0.0035789,0
10.65,0.12625,491.2,0.0035789,0
10.646,0.12625,492.07,0.0035789,0
10.641,0.12625,492.94,0.0035789,0
10.636,0.12625,493.81,0.0035789,0
10.63,0.12625,494.68,0.0035789,0
10.624,0.12625,495.55,0.0035789,0
10.618,0.12625,496.42,0.0035789,0
10.613,0.12625,497.29,0.0035789,0
10.607,0.12625,498.16,0.0035789,0
10.601,0.12625,499.03,0.0035789,0
10.593,0.12625,499.9,0.0035789,0
10.586,0.12625,500.77,0.0035789,0
10.58,0.12625,501.64,0.0035789,0
10.577,0.12625,502.51,0.0035789,0
10.573,0.12625,503.38,0.0035789,0
10.569,0.12625,504.25,0.0035789,0
10.564,0.12625,505.12,0.0035789,0
10.559,0.12625,505.99,0.0035789,0
10.554,0.12625,506.86,0.0035789,0
10.549,0.12625,507.73,0.0035789,0
10.543,0.12625,508.6,0.0035789,0
10.537,0.12625,509.47,0.0035789,0
10.531,0.12625,510.34,0.0035789,0
10.525,0.12625,511.21,0.0035789,0
10.518,0.12625,512.08,0.0035789,0
10.51,0.12625,512.95,0.0035789,0
10.501,0.12625,513.82,0.0035789,0
10.491,0.12625,514.69,0.0035789,0
10.482,0.12625,515.56,0.0035789,0
10.473,0.12625,516.43,0.0035789,0
10.467,0.12625,517.3,0.0035789,0
10.462,0.12625,518.17,0.0035789,0
10.456,0.12625,519.04,0.0035789,0
10.45,0.12625,519.91,0.0035789,0
10.442,0.12625,520.78,0.0035789,0
10.433,0.12625,521.65,0.0035789,0
10.425,0.12625,522.51,0.0035789,0
10.416,0.12625,523.38,0.0035789,0
10.406,0.12625,524.25,0.0035789,0
10.396,0.12625,525.12,0.0035789,0
10.386,0.12625,525.99,0.0035789,0
10.377,0.12625,526.86,0.0035789,0
10.369,0.12625,527.73,0.0035789,0
10.36,0.12625,528.6,0.0035789,0
10.351,0.12625,529.47,0.0035789,0
10.344,0.12625,530.34,0.0035789,0
10.338,0.12625,531.21,0.0035789,0
10.334,0.12625,532.08,0.0035789,0
10.33,0.12625,532.95,0.0035789,0
10.326,0.12625,533.82,0.0035789,0
10.32,0.12625,534.69,0.0035789,0
10.315,0.12625,535.56,0.0035789,0
10.308,0.12625,536.43,0.0035789,0
