"RUU","RUV","RUW","RVV","RVW","RWW","TKE","y_plus","Points:0","Points:1","Points:2"
0.0059856,-0.00172,-3.8682e-07,0.0023319,9.8983e-06,0.0034062,0.0058618,104.76,900,2.9698,0
0.0059724,-0.0017182,7.84e-07,0.0023301,9.298e-06,0.0034,0.0058513,105.7,900,2.9963,0
0.0059591,-0.0017164,1.8773e-06,0.0023281,8.7217e-06,0.003394,0.0058406,106.63,900,3.0228,0
0.0059457,-0.0017146,2.8941e-06,0.002326,8.169e-06,0.0033882,0.0058299,107.57,900,3.0493,0
0.0059322,-0.0017128,3.9108e-06,0.0023239,7.6164e-06,0.0033823,0.0058192,108.5,900,3.0758,0
0.0059194,-0.0017108,4.5996e-06,0.0023215,7.1739e-06,0.0033767,0.0058088,109.44,900,3.1023,0
0.0059067,-0.0017088,5.2452e-06,0.002319,6.7458e-06,0.0033711,0.0057984,110.37,900,3.1287,0
0.005894,-0.0017067,5.7761e-06,0.0023165,6.3464e-06,0.0033655,0.005788,111.3,900,3.1552,0
0.0058811,-0.0017044,5.8826e-06,0.0023138,6.0528e-06,0.00336,0.0057775,112.24,900,3.1817,0
0.0058683,-0.0017021,5.9892e-06,0.0023111,5.7592e-06,0.0033544,0.0057669,113.17,900,3.2082,0
0.005855,-0.0016996,5.8552e-06,0.0023083,5.5022e-06,0.0033489,0.0057561,114.11,900,3.2347,0
0.0058413,-0.001697,5.4699e-06,0.0023054,5.2835e-06,0.0033433,0.005745,115.04,900,3.2612,0
0.0058276,-0.0016944,5.0846e-06,0.0023025,5.0649e-06,0.0033376,0.0057339,115.98,900,3.2876,0
0.0058135,-0.0016917,4.5487e-06,0.0022996,4.8272e-06,0.0033319,0.0057225,116.91,900,3.3141,0
0.0057992,-0.0016889,3.9518e-06,0.0022966,4.5819e-06,0.0033261,0.005711,117.84,900,3.3406,0
0.005785,-0.0016861,3.3548e-06,0.0022936,4.3366e-06,0.0033203,0.0056995,118.78,900,3.3671,0
0.0057707,-0.0016832,2.768e-06,0.0022907,4.016e-06,0.0033144,0.0056879,119.71,900,3.3936,0
0.0057565,-0.0016802,2.1826e-06,0.0022877,3.6851e-06,0.0033085,0.0056763,120.65,900,3.4201,0
0.0057423,-0.0016773,1.5971e-06,0.0022847,3.3542e-06,0.0033025,0.0056647,121.58,900,3.4465,0
0.0057267,-0.0016743,1.0127e-06,0.0022818,2.9772e-06,0.0032964,0.0056524,122.52,900,3.473,0
0.0057112,-0.0016713,4.2828e-07,0.0022788,2.5997e-06,0.0032903,0.0056401,123.45,900,3.4995,0
0.0056957,-0.0016683,-1.5807e-07,0.0022759,2.223e-06,0.0032841,0.0056279,124.38,900,3.526,0
0.0056812,-0.0016653,-7.8362e-07,0.002273,1.8605e-06,0.003278,0.0056161,125.32,900,3.5525,0
0.0056668,-0.0016622,-1.4092e-06,0.0022701,1.498e-06,0.0032719,0.0056044,126.25,900,3.579,0
0.0056523,-0.0016592,-2.0366e-06,0.0022672,1.1363e-06,0.0032658,0.0055927,127.19,900,3.6055,0
0.0056376,-0.0016561,-2.7051e-06,0.0022644,7.9049e-07,0.0032599,0.0055809,128.12,900,3.6319,0
0.0056228,-0.001653,-3.3735e-06,0.0022615,4.4473e-07,0.0032541,0.0055692,129.06,900,3.6584,0
0.005608,-0.0016499,-4.0419e-06,0.0022587,9.8961e-08,0.0032483,0.0055575,129.99,900,3.6849,0
